,ts,series_errors,approximant_errors
100,0.3142990314652451,1.1155753033865061e-11,2.206744017934655e-16
101,0.31744202177989755,1.2561867881433831e-11,0.0
102,0.32058501209455004,1.4128445540932748e-11,2.2061907465541458e-16
103,0.32372800240920246,1.587218430183829e-11,0.0
104,0.32687099272385495,1.7810434329133243e-11,2.2056265423075222e-16
105,0.3300139830385074,1.9964063968873715e-11,0.0
106,0.33315697335315986,2.2352606107875975e-11,0.0
107,0.3362999636678123,2.4999991164602853e-11,0.0
108,0.3394429539824647,2.7932559883356756e-11,0.0
109,0.3425859442971172,3.117553473330217e-11,0.0
110,0.3457289346117696,3.476051348286697e-11,0.0
111,0.3488719249264221,3.8718413087780515e-11,0.0
112,0.35201491524107453,4.3085638885145054e-11,2.2032604234710132e-16
